time(millisecond);datetime(utc);latitude;longitude;height_above_takeoff(meters);height_above_ground_at_drone_location(meters);ground_elevation_at_drone_location(meters);altitude_above_seaLevel(meters);height_sonar(meters);speed(km/h);distance(meters);satellites;gpslevel;voltage(v);max_altitude(meters);max_ascent(meters);max_speed(km/h);max_distance(meters); xSpeed(km/h); ySpeed(km/h); zSpeed(km/h); compass_heading(degrees); pitch(degrees); roll(degrees);isPhoto;isVideo;rc_elevator;rc_aileron;rc_throttle;rc_rudder;gimbal_heading(degrees);gimbal_pitch(degrees);battery_percent;voltageCell1;voltageCell2;voltageCell3;voltageCell4;voltageCell5;voltageCell6;current(A);battery_temperature(c);altitude(meters);ascent(meters);flycStateRaw;flycState;message
0;25.08.2021 07:02;53,20753423;22,77306973;0;0;109,960495;109,960495;0,1;0;0;13;5;0;109,960495;0;0;0;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
100;25.08.2021 07:02;53,20753435;22,77307006;0;0;109,960495;109,960495;0,1;0;0,0252714;13;5;0;109,960495;0;0;0,0252714;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
200;25.08.2021 07:02;53,20753431;22,77307026;0;0;109,960495;109,960495;0,1;0;0,0361077;13;5;0;109,960495;0;0;0,0361077;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,1;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
300;25.08.2021 07:02;53,20753427;22,77307046;0;0;109,960495;109,960495;0,1;0;0,0485749;13;5;0;109,960495;0;0;0,0485749;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
400;25.08.2021 07:02;53,20753422;22,7730706;0;-0,01;109,970495;109,960495;0,1;0;0,0575759;13;5;0;109,960495;0;0;0,0575759;0;0;0;92,90;8,6;-1,9;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
500;25.08.2021 07:02;53,20753419;22,77307079;0;-0,01;109,970495;109,960495;0,1;0;0,0703255;13;5;0;109,960495;0;0;0,0703255;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
600;25.08.2021 07:02;53,20753428;22,77307097;0;-0,01;109,970495;109,960495;0,1;0;0,0824127;13;5;0;109,960495;0;0;0,0824127;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
700;25.08.2021 07:02;53,20753426;22,77307115;0;-0,01;109,970495;109,960495;0,1;0;0,0943305;13;5;0;109,960495;0;0;0,0943305;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
800;25.08.2021 07:02;53,20753418;22,77307135;0;-0,01;109,970495;109,960495;0,1;0;0,107684;13;5;0;109,960495;0;0;0,107684;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;Setting new Return-To-Home altitude to 30m (98 ft), Data Recorder File Index is 16, Setting new Maximum Flight Altitude to 120m (394 ft)
900;25.08.2021 07:02;53,20753415;22,77307152;0;-0,01;109,970495;109,960495;0,1;0;0,119011;13;5;11,921;109,960495;0;0;0,119011;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1000;25.08.2021 07:02;53,20753422;22,77307142;0;-0,01;109,970495;109,960495;0,1;0;0,112167;13;5;11,921;109,960495;0;0;0,119011;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1100;25.08.2021 07:02;53,20753421;22,77307157;0;-0,01;109,970495;109,960495;0,1;0;0,12232;13;5;11,921;109,960495;0;0;0,12232;0;0;0;92,90;8,7;-1,8;0;0;654;505;862;1296;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1200;25.08.2021 07:02;53,20753441;22,77307184;0;-0,01;109,970495;109,960495;0,1;0;0,141785;13;5;11,921;109,960495;0;0;0,141785;0;0;0;92,90;8,6;-1,8;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1300;25.08.2021 07:02;53,20753442;22,77307198;0;-0,01;109,970495;109,960495;0,1;0;0,151293;13;5;11,921;109,960495;0;0;0,151293;0;0;0;92,90;8,7;-1,9;0;0;1024;1024;1024;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1400;25.08.2021 07:02;53,20753458;22,77307132;0;0;109,960495;109,960495;0,1;0;0,112557;13;5;11,921;109,960495;0;0;0,151293;0;0;0;92,90;8,7;-1,9;0;0;1024;1024;1451;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;41;Motors_Started;
1500;25.08.2021 07:02;53,20753456;22,77307114;0;0;109,960495;109,960495;0,1;0;0,100691;13;5;11,921;109,960495;0;0;0,151293;0;0;0;92,90;8,7;-1,9;0;0;1024;1024;1682;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
1600;25.08.2021 07:02;53,20753459;22,77307117;0;0;109,960495;109,960495;0,1;0;0,103737;12;5;11,921;109,960495;0;0;0,151293;0;0;0;93,00;8,6;-1,8;0;0;1024;1024;1684;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
1700;25.08.2021 07:02;53,20753469;22,77307106;0;0;109,960495;109,960495;0,1;0;0,10217;12;5;11,921;109,960495;0;0;0,151293;0;0;0;93,00;8,3;-1,6;0;0;1024;1024;1684;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
1800;25.08.2021 07:02;53,20753473;22,77307106;0;0;109,960495;109,960495;0,1;0;0,104669;13;5;11,921;109,960495;0;0;0,151293;0;0;0;93,00;7,6;-1,3;0;0;1024;1024;1684;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
1900;25.08.2021 07:02;53,20753477;22,77307107;0;0;109,960495;109,960495;0,1;0;0,10735;13;5;11,921;109,960495;0;0;0,151293;0;0;0;93,20;6,6;-1,1;0;0;1024;1024;1684;1024;93,2;0;97;3,989;3,992;3,94;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
2000;25.08.2021 07:02;53,20753472;22,77307128;0;0;109,960495;109,960495;0,1;0;0,116113;13;5;12,099;109,960495;0;0;0,151293;0;0;-0,36;93,50;4,4;-1,4;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
2100;25.08.2021 07:02;53,20753484;22,77307144;0;0;109,960495;109,960495;0,1;0;0,132057;13;5;12,099;109,960495;0;0;0,151293;0;0;-0,72;93,80;1,9;-1,4;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;109,960495;0;10;Assisted_Takeoff;
2200;25.08.2021 07:02;53,20753494;22,77307137;0,1;0,1;109,960495;110,060495;0,1;0;0,134128;13;5;12,099;110,060495;0,1;0;0,151293;0;0;-1,44;93,40;0,7;-0,1;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,060495;0,1;6;P-GPS;
2300;25.08.2021 07:02;53,20753504;22,77307127;0,1;0,1;109,960495;110,060495;0,2;0;0,136207;13;5;12,099;110,060495;0,1;0;0,151293;0;0;-2,52;93,20;-0,1;1,2;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,060495;0,1;6;P-GPS;
2400;25.08.2021 07:02;53,20753498;22,77307142;0,2;0,2;109,960495;110,160495;0,2;0;0,139748;13;5;12,099;110,160495;0,2;0;0,151293;0;0;-3,24;93,10;-0,1;1,2;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,160495;0,2;6;P-GPS;
2500;25.08.2021 07:02;53,20753524;22,77307097;0,3;0,3;109,960495;110,260495;0,2;0,36;0,139027;13;5;12,099;110,260495;0,3;0,36;0,151293;0;-0,36;-3,96;93,10;-0,7;-0,6;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,260495;0,3;6;P-GPS;
2600;25.08.2021 07:02;53,20753529;22,77307077;0,4;0,4;109,960495;110,360495;0,3;0,36;0,136379;13;5;12,099;110,360495;0,4;0,36;0,151293;0;-0,36;-4,68;93,30;-1,1;-1,4;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,360495;0,4;6;P-GPS;
2700;25.08.2021 07:02;53,20753535;22,77307054;0,6;0,6;109,960495;110,560495;0,4;0,36;0,135814;13;5;12,099;110,560495;0,6;0,36;0,151293;0;-0,36;-5,76;93,40;-2,2;-0,1;0;0;1024;1024;1684;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,560495;0,6;6;P-GPS;
2800;25.08.2021 07:02;53,20753477;22,77307066;0,8;0,8;109,960495;110,760495;0,6;0,36;0,0859999;13;5;12,099;110,760495;0,8;0,36;0,151293;0;-0,36;-6,48;93,50;-3,3;-0,4;0;0;1024;1024;1679;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,760495;0,8;6;P-GPS;
2900;25.08.2021 07:02;53,20753473;22,77307045;1;1;109,960495;110,960495;0,8;0,36;0,0735425;13;5;12,099;110,960495;1;0,36;0,151293;0;-0,36;-6,84;93,50;-3,8;-1;0;0;1024;1024;1633;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;110,960495;1;6;P-GPS;
3000;25.08.2021 07:02;53,20753454;22,77306981;1,2;1,2;109,960495;111,160495;1;0;0,0346162;12;5;12,099;111,160495;1,2;0,36;0,151293;0;0;-7,2;93,40;-3,6;-1,6;0;0;1024;1024;1587;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;111,160495;1,2;6;P-GPS;
3100;25.08.2021 07:02;53,20753446;22,77306963;1,4;1,4;109,960495;111,360495;1,1;0,36;0,0262073;12;5;12,099;111,360495;1,4;0,36;0,151293;-0,36;0;-7,2;93,40;-3,3;-2,6;0;0;1024;1024;1506;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;111,360495;1,4;6;P-GPS;
3200;25.08.2021 07:02;53,20753409;22,77306934;1,6;1,6;109,960495;111,560495;1,3;0,36;0,0308598;13;5;12,099;111,560495;1,6;0,36;0,151293;-0,36;0;-6,84;93,40;-2,7;-3,4;0;0;1024;1024;1582;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;111,560495;1,6;6;P-GPS;
3300;25.08.2021 07:02;53,20753399;22,77306918;1,8;1,8;109,960495;111,760495;1,5;0;0,0457587;13;5;12,099;111,760495;1,8;0,36;0,151293;0;0;-6,48;93,40;-2,5;-3,1;0;0;1024;1024;1640;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;111,760495;1,8;6;P-GPS;
3400;25.08.2021 07:02;53,20753384;22,77306917;1,9;1,9;109,960495;111,860495;1,7;0;0,0572041;13;5;12,099;111,860495;1,9;0,36;0,151293;0;0;-5,76;93,30;-2,5;-2,8;0;0;1024;1024;1664;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;111,860495;1,9;6;P-GPS;
3500;25.08.2021 07:02;53,20753375;22,77306903;2,1;2,1;109,960495;112,060495;1,8;0;0,0705337;13;5;12,099;112,060495;2,1;0,36;0,151293;0;0;-5,76;93,40;-2,2;-3;0;0;1024;1024;1669;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;112,060495;2,1;6;P-GPS;
3600;25.08.2021 07:02;53,20753372;22,77306851;2,3;2,3;109,960495;112,260495;2;0;0,0991346;14;5;12,099;112,260495;2,3;0,36;0,151293;0;0;-5,76;93,30;-2,2;-2,9;0;0;1024;1024;1652;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;112,260495;2,3;6;P-GPS;
3700;25.08.2021 07:02;53,20753366;22,7730684;2,4;2,4;109,960495;112,360495;2,2;0;0,109407;14;5;12,099;112,360495;2,4;0,36;0,151293;0;0;-5,76;93,20;-2,1;-2,4;0;0;1024;1024;1566;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;112,360495;2,4;6;P-GPS;
3800;25.08.2021 07:02;53,20753374;22,77306856;2,6;2,6;109,960495;112,560495;2,3;0;0,0955944;14;5;12,099;112,560495;2,6;0,36;0,151293;0;0;-6,12;93,10;-1,9;-2,5;0;0;1024;1024;1628;1024;93,2;0;97;4,083;4,036;3,98;0;0;0;0;;112,560495;2,6;6;P-GPS;
3900;25.08.2021 07:02;53,2075337;22,77306851;2,8;2,8;109,960495;112,760495;2,5;0;0,100192;14;5;11,145;112,760495;2,8;0,36;0,151293;0;0;-6,12;93,20;-1,7;-1,8;0;0;1024;1024;1662;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;112,760495;2,8;6;P-GPS;
4000;25.08.2021 07:02;53,20753405;22,77306903;3;3;109,960495;112,960495;2,6;0;0,050935;15;5;11,145;112,960495;3;0,36;0,151293;0;0;-5,76;93,20;-1,8;-1,9;0;0;1088;1024;1658;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;112,960495;3;6;P-GPS;
4100;25.08.2021 07:02;53,20753405;22,77306904;3,1;3,1;109,960495;113,060495;2,7;0;0,049983;15;5;11,145;113,060495;3,1;0,36;0,151293;0;0;-6,12;93,30;-2;-1,9;0;0;1088;1024;1658;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;113,060495;3,1;6;P-GPS;
4200;25.08.2021 07:02;53,20753396;22,77306902;3,3;3,3;109,960495;113,260495;2,9;0;0,0559377;15;5;11,145;113,260495;3,3;0,36;0,151293;0;0;-6,12;93,30;-1,8;-1,8;0;0;1024;1024;1679;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;113,260495;3,3;6;P-GPS;
4300;25.08.2021 07:02;53,20753426;22,77306923;3,5;3,5;109,960495;113,460495;3;0;0,0341659;15;5;11,145;113,460495;3,5;0,36;0,151293;0;0;-6,48;93,30;-1,8;-1,6;0;0;1024;1024;1679;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;113,460495;3,5;6;P-GPS;
4400;25.08.2021 07:02;53,20753429;22,77306931;3,7;3,7;109,960495;113,660495;3,2;0;0,0289119;15;5;11,145;113,660495;3,7;0,36;0,151293;0;0;-6,48;93,30;-2;-1,1;0;0;1024;1024;1676;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;113,660495;3,7;6;P-GPS;
4500;25.08.2021 07:02;53,2075343;22,77306942;3,9;3,9;109,960495;113,860495;3,4;0;0,0223101;15;5;11,145;113,860495;3,9;0,36;0,151293;0;0;-6,84;93,30;-0,6;-1,1;0;0;1024;1024;1680;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;113,860495;3,9;6;P-GPS;
4600;25.08.2021 07:02;53,20753452;22,77306958;4,1;4,1;109,960495;114,060495;3,6;0;0,0339029;15;5;11,145;114,060495;4,1;0,36;0,151293;0;0;-6,84;93,30;-0,1;-1,7;0;0;1024;1024;1680;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;114,060495;4,1;6;P-GPS;
4700;25.08.2021 07:02;53,20753453;22,77306967;4,3;4,3;109,960495;114,260495;3,8;0;0,0335976;15;5;11,145;114,260495;4,3;0,36;0,151293;0;0;-6,84;93,30;-0,1;-1,8;0;0;1024;1024;1676;1024;93,2;0;97;3,729;3,73;3,686;0;0;0;0;;114,260495;4,3;6;P-GPS;
4800;25.08.2021 07:02;53,2075344;22,77306979;4,4;4,4;109,960495;114,360495;4;0;0,0191436;15;5;11,145;114,360495;4,4;0,36;0,151293;0;0;-7,2;93,20;-0,1;-1,8;0;0;1024;1024;1684;1024;93,2;0;96;3,729;3,73;3,686;0;0;0;0;;114,360495;4,4;6;P-GPS;
4900;25.08.2021 07:02;53,20753439;22,77306984;4,7;4,7;109,960495;114,660495;4,1;0;0,0195646;15;5;11,22;114,660495;4,7;0,36;0,151293;0;0;-7,2;93,20;-0,1;-1,7;0;0;1024;1024;1684;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;114,660495;4,7;6;P-GPS;
5000;25.08.2021 07:02;53,20753436;22,77307029;4,9;4,9;109,960495;114,860495;4,4;0;0,0396053;15;5;11,22;114,860495;4,9;0,36;0,151293;0;0;-6,84;93,30;-0,3;-1,4;0;0;1024;1024;1684;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;114,860495;4,9;6;P-GPS;
5100;25.08.2021 07:02;53,20753435;22,77307035;5,1;5,1;109,960495;115,060495;4,6;0;0,0434022;15;5;11,22;115,060495;5,1;0,36;0,151293;0;0;-7,2;93,20;-0,2;-1,4;0;0;1024;1024;1684;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;115,060495;5,1;6;P-GPS;
5200;25.08.2021 07:02;53,2075345;22,77307023;5,3;5,3;109,960495;115,260495;4,8;0;0,0447604;15;5;11,22;115,260495;5,3;0,36;0,151293;0;0;-7,2;93,10;-0,4;-1,9;0;0;1024;1024;1675;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;115,260495;5,3;6;P-GPS;
5300;25.08.2021 07:02;53,20753449;22,77307029;5,5;5,5;109,960495;115,460495;5;0;0,0466102;15;5;11,22;115,460495;5,5;0,36;0,151293;0;0;-7,2;93,20;-0,3;-2,5;0;0;1024;1024;1678;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;115,460495;5,5;6;P-GPS;
5400;25.08.2021 07:02;53,20753446;22,77307015;5,7;5,7;109,960495;115,660495;5,2;0;0,0372299;15;5;11,22;115,660495;5,7;0,36;0,151293;0;0;-7,2;93,20;-0,1;-2,6;0;0;1024;1024;1678;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;115,660495;5,7;6;P-GPS;
5500;25.08.2021 07:02;53,20753445;22,77307019;5,9;5,9;109,960495;115,860495;5,4;0;0,0388764;15;5;11,22;115,860495;5,9;0,36;0,151293;0;0;-7,2;93,30;-0,1;-2,8;0;0;1024;1024;1677;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;115,860495;5,9;6;P-GPS;
5600;25.08.2021 07:02;53,20753447;22,7730698;6,1;6,1;109,960495;116,060495;5,6;0;0,0269443;14;5;11,22;116,060495;6,1;0,36;0,151293;0;0;-6,84;93,20;0,1;-2,3;0;0;1024;1024;1678;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;116,060495;6,1;6;P-GPS;
5700;25.08.2021 07:02;53,20753448;22,7730698;6,3;6,3;109,960495;116,260495;5,8;0;0,0277803;14;5;11,22;116,260495;6,3;0,36;0,151293;0;0;-6,84;93,20;0,4;-2,3;0;0;1024;1024;1679;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;116,260495;6,3;6;P-GPS;
5800;25.08.2021 07:02;53,20753452;22,77306946;6,5;6,51;109,950495;116,460495;6;0;0,0374154;15;5;11,22;116,460495;6,5;0,36;0,151293;0;0;-6,84;93,20;0,4;-2,6;0;0;1024;1024;1682;1024;93,2;0;96;3,753;3,755;3,712;0;0;0;0;;116,460495;6,5;6;P-GPS;
5900;25.08.2021 07:02;53,20753455;22,77306941;6,7;6,71;109,950495;116,660495;6,3;0;0,0415401;15;5;11,227;116,660495;6,7;0,36;0,151293;0;0;-6,84;93,20;0,2;-2,3;0;0;1024;1024;1682;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;116,660495;6,7;6;P-GPS;
6000;25.08.2021 07:02;53,20753441;22,77306941;6,9;6,9;109,960495;116,860495;6,5;0;0,0296633;15;5;11,227;116,860495;6,9;0,36;0,151293;0;0;-6,84;93,20;0;-2;0;0;1024;1024;1682;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;116,860495;6,9;6;P-GPS;
6100;25.08.2021 07:02;53,20753443;22,77306934;7,1;7,1;109,960495;117,060495;6,8;0;0,0346127;15;5;11,227;117,060495;7,1;0,36;0,151293;0;0;-7,2;93,20;0;-1,6;0;0;1024;1024;1682;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;117,060495;7,1;6;P-GPS;
6200;25.08.2021 07:02;53,20753429;22,77306858;7,3;7,3;109,960495;117,260495;7;0;0,0773071;15;5;11,227;117,260495;7,3;0,36;0,151293;0;0;-7,2;93,20;0;-1,6;0;0;1024;1024;1683;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;117,260495;7,3;6;P-GPS;
6300;25.08.2021 07:02;53,20753428;22,77306844;7,5;7,5;109,960495;117,460495;7,2;0;0,086399;15;5;11,227;117,460495;7,5;0,36;0,151293;0;0;-7,2;93,20;0;-2,1;0;0;1024;1024;1684;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;117,460495;7,5;6;P-GPS;
6400;25.08.2021 07:02;53,20753425;22,77306865;7,7;7,7;109,960495;117,660495;7,4;0;0,072418;15;5;11,227;117,660495;7,7;0,36;0,151293;0;0;-6,84;93,20;0,1;-2,6;0;0;1024;1024;1680;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;117,660495;7,7;6;P-GPS;
6500;25.08.2021 07:02;53,20753423;22,77306854;7,9;7,9;109,960495;117,860495;7,7;0;0,0798131;15;5;11,227;117,860495;7,9;0,36;0,151293;0;0;-6,84;93,20;0;-3;0;0;1024;1024;1678;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;117,860495;7,9;6;P-GPS;
6600;25.08.2021 07:02;53,2075342;22,7730686;8,1;8,1;109,960495;118,060495;8;0;0,0758125;15;5;11,227;118,060495;8,1;0,36;0,151293;0;0;-7,2;93,20;0,3;-3,4;0;0;1024;1024;1663;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;118,060495;8,1;6;P-GPS;
6700;25.08.2021 07:02;53,2075342;22,77306852;8,3;8,3;109,960495;118,260495;8,1;0;0,0807908;15;5;11,227;118,260495;8,3;0,36;0,151293;0;0;-6,84;93,10;0,8;-3,2;0;0;1024;1024;1663;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;118,260495;8,3;6;P-GPS;
6800;25.08.2021 07:02;53,20753428;22,77306846;8,5;8,5;109,960495;118,460495;8,3;0;0,0853765;15;5;11,227;118,460495;8,5;0,36;0,151293;0;0;-6,84;93,10;0,9;-2,4;0;0;1024;1024;1663;1024;93,2;0;96;3,762;3,756;3,709;0;0;0;0;;118,460495;8,5;6;P-GPS;
6900;25.08.2021 07:02;53,20753431;22,77306838;8,7;8,7;109,960495;118,660495;8,5;0;0,0905815;15;5;11,222;118,660495;8,7;0,36;0,151293;0;0;-6,84;93,20;1,2;-2,2;0;0;1024;1024;1663;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;118,660495;8,7;6;P-GPS;
7000;25.08.2021 07:02;53,20753438;22,77306859;8,9;8,9;109,960495;118,860495;8,7;0;0,0783997;14;5;11,222;118,860495;8,9;0,36;0,151293;0;0;-6,84;93,10;1,1;-2;0;0;1024;1024;1663;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;118,860495;8,9;6;P-GPS;
7100;25.08.2021 07:02;53,2075344;22,77306853;9,1;9,1;109,960495;119,060495;8,9;0;0,0827837;14;5;11,222;119,060495;9,1;0,36;0,151293;0;0;-6,84;93,20;1,2;-2,5;0;0;1024;1024;1669;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,060495;9,1;6;P-GPS;
7200;25.08.2021 07:02;53,20753451;22,77306799;9,2;9,21;109,950495;119,160495;9,1;0;0,120237;14;5;11,222;119,160495;9,2;0,36;0,151293;0;0;-6,84;93,20;1,3;-2,9;0;0;1024;1024;1676;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,160495;9,2;6;P-GPS;
7300;25.08.2021 07:02;53,20753454;22,77306789;9,4;9,41;109,950495;119,360495;9,1;0;0,127696;14;5;11,222;119,360495;9,4;0,36;0,151293;0;0;-6,84;93,20;1,1;-2,6;0;0;1024;1024;1674;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,360495;9,4;6;P-GPS;
7400;25.08.2021 07:02;53,20753459;22,77306808;9,6;9,61;109,950495;119,560495;9,1;0;0,11728;14;5;11,222;119,560495;9,6;0,36;0,151293;0;0;-6,84;93,20;1,4;-3,1;0;0;1024;1024;1675;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,560495;9,6;6;P-GPS;
7500;25.08.2021 07:02;53,20753462;22,77306804;9,8;9,81;109,950495;119,760495;9,1;0;0,121106;14;5;11,222;119,760495;9,8;0,36;0,151293;0;0;-6,84;93,20;2,3;-3,2;0;0;1024;1024;1675;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,760495;9,8;6;P-GPS;
7600;25.08.2021 07:02;53,20753458;22,77306794;10;10,01;109,950495;119,960495;9,1;0;0,125564;14;5;11,222;119,960495;10;0,36;0,151293;0;0;-6,84;93,10;2,8;-2,4;0;0;1024;1024;1669;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;119,960495;10;6;P-GPS;
7700;25.08.2021 07:02;53,20753461;22,77306789;10,2;10,21;109,950495;120,160495;9,1;0;0,130307;14;5;11,222;120,160495;10,2;0,36;0,151293;0;0;-6,84;93,10;3,2;-2,4;0;0;1024;1024;1670;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;120,160495;10,2;6;P-GPS;
7800;25.08.2021 07:02;53,20753473;22,77306835;10,4;10,41;109,950495;120,360495;9,1;0;0,107666;14;5;11,222;120,360495;10,4;0,36;0,151293;0;0;-6,84;93,20;3,3;-2,8;0;0;1024;1024;1665;1024;93,2;0;96;3,757;3,757;3,708;0;0;0;0;;120,360495;10,4;6;P-GPS;
7900;25.08.2021 07:02;53,20753478;22,77306828;10,6;10,61;109,950495;120,560495;9,1;0;0,114345;14;5;11,212;120,560495;10,6;0,36;0,151293;0;0;-6,84;93,30;2,8;-3,5;0;0;1024;1024;1666;1024;93,2;0;96;3,75;3,747;3,715;0;0;0;0;;120,560495;10,6;6;P-GPS;
8000;25.08.2021 07:02;53,20753473;22,77306801;10,8;10,81;109,950495;120,760495;9,1;0;0,127855;14;5;11,212;120,760495;10,8;0,36;0,151293;0;0;-6,84;93,30;1,4;-2,5;0;0;1024;1024;1665;1024;93,2;0;96;3,75;3,747;3,715;0;0;0;0;;120,760495;10,8;6;P-GPS;
8100;25.08.2021 07:02;53,20753481;22,77306789;11;11,01;109,950495;120,960495;9,1;0;0,138967;14;5;11,212;120,960495;11;0,36;0,151293;0;0;-6,84;93,10;1,4;-1,6;0;0;1024;1024;1666;1024;93,2;0;96;3,75;3,747;3,715;0;0;0;0;;120,960495;11;6;P-GPS;
